epoch,loss,valLoss,accuracy,utc
1,0,683358,0,674452,,2026-01-19T19:26:44.5468524+00:00
2,0,674452,0,656355,,2026-01-19T19:26:44.5498076+00:00
3,0,656355,0,632627,,2026-01-19T19:26:44.5524071+00:00
4,0,632627,0,610885,,2026-01-19T19:26:44.5547663+00:00
5,0,610885,0,585112,,2026-01-19T19:26:44.5565093+00:00
6,0,585112,0,559894,,2026-01-19T19:26:44.5582280+00:00
7,0,559894,0,542140,,2026-01-19T19:26:44.5600894+00:00
8,0,542140,0,501047,,2026-01-19T19:26:44.5629747+00:00
9,0,501047,0,464766,,2026-01-19T19:26:44.5661684+00:00
10,0,464766,0,419048,1,000000,2026-01-19T19:26:44.5680700+00:00
11,0,419048,0,378954,,2026-01-19T19:26:44.5706792+00:00
12,0,378954,0,341205,,2026-01-19T19:26:44.5740239+00:00
13,0,341205,0,301158,,2026-01-19T19:26:44.5780766+00:00
14,0,301158,0,260400,,2026-01-19T19:26:44.5815426+00:00
15,0,260400,0,222689,,2026-01-19T19:26:44.5830234+00:00
16,0,222689,0,192625,,2026-01-19T19:26:44.5875486+00:00
17,0,192625,0,160403,,2026-01-19T19:26:44.5926113+00:00
18,0,160403,0,131412,,2026-01-19T19:26:44.5972261+00:00
19,0,131412,0,107178,,2026-01-19T19:26:44.6016484+00:00
20,0,107178,0,087165,1,000000,2026-01-19T19:26:44.6062596+00:00
21,0,087165,0,072655,,2026-01-19T19:26:44.6118021+00:00
22,0,072655,0,060375,,2026-01-19T19:26:44.6135534+00:00
23,0,060375,0,050089,,2026-01-19T19:26:44.6189793+00:00
24,0,050089,0,042915,,2026-01-19T19:26:44.6217204+00:00
25,0,042915,0,037545,,2026-01-19T19:26:44.6257477+00:00
26,0,037545,0,032994,,2026-01-19T19:26:44.6297443+00:00
27,0,032994,0,029075,,2026-01-19T19:26:44.6321698+00:00
28,0,029075,0,025743,,2026-01-19T19:26:44.6387031+00:00
29,0,025743,0,022927,,2026-01-19T19:26:44.6439643+00:00
30,0,022927,0,020525,1,000000,2026-01-19T19:26:44.6461002+00:00
31,0,020525,0,018465,,2026-01-19T19:26:44.6482326+00:00
32,0,018465,0,016687,,2026-01-19T19:26:44.6511118+00:00
33,0,016687,0,015143,,2026-01-19T19:26:44.6529945+00:00
34,0,015143,0,013800,,2026-01-19T19:26:44.6547437+00:00
35,0,013800,0,012620,,2026-01-19T19:26:44.6566250+00:00
36,0,012620,0,011580,,2026-01-19T19:26:44.6584908+00:00
37,0,011580,0,010661,,2026-01-19T19:26:44.6602330+00:00
38,0,010661,0,009848,,2026-01-19T19:26:44.6620113+00:00
39,0,009848,0,009126,,2026-01-19T19:26:44.6638073+00:00
40,0,009126,0,008484,1,000000,2026-01-19T19:26:44.6655968+00:00
41,0,008484,0,007911,,2026-01-19T19:26:44.6674131+00:00
42,0,007911,0,007400,,2026-01-19T19:26:44.6692278+00:00
