epoch,train_loss,val_loss,accuracy,elapsed_ms
1,0.632840030002066,NaN,NaN,1
2,0.6300872861250031,NaN,NaN,1
3,0.6247356943077274,NaN,NaN,1
4,0.6205508867891724,NaN,NaN,1
5,0.6157444190398436,NaN,NaN,1
6,0.6133105285093725,NaN,NaN,1
7,0.6082106881039304,NaN,NaN,1
8,0.6042066289930811,NaN,NaN,1
9,0.6006671827525939,NaN,NaN,1
10,0.5969126715786699,NaN,NaN,1
11,0.5930276673826088,NaN,NaN,2
12,0.5903395296406564,NaN,NaN,2
13,0.5858419048579467,NaN,NaN,2
14,0.5822394083579255,NaN,NaN,2
15,0.5780551777672611,NaN,NaN,2
16,0.573180647783471,NaN,NaN,2
17,0.567999001272809,NaN,NaN,2
18,0.5638758082997726,NaN,NaN,2
19,0.5594293609312142,NaN,NaN,2
20,0.5544677191894766,NaN,NaN,2
21,0.5497732914376716,NaN,NaN,2
22,0.5453665921859991,NaN,NaN,2
23,0.5419435069080166,NaN,NaN,2
24,0.5365016759380005,NaN,0.5454545454545454,2
25,0.5318087892604515,NaN,0.5454545454545454,2
26,0.5268714375303316,NaN,0.5454545454545454,3
27,0.5219291745743114,NaN,0.5454545454545454,3
28,0.5172198645876986,NaN,0.5454545454545454,3
29,0.5122533627059656,NaN,0.5454545454545454,3
30,0.508197189079575,NaN,0.5454545454545454,3
31,0.5039591836014506,NaN,0.5454545454545454,3
32,0.4991703671973457,NaN,0.5454545454545454,3
33,0.4937346957760473,NaN,0.5454545454545454,3
34,0.4881479621962724,NaN,0.5454545454545454,3
35,0.4830749758081377,NaN,0.5454545454545454,3
36,0.4765768943405026,NaN,0.5454545454545454,3
37,0.47097757829199427,NaN,0.5454545454545454,3
38,0.465502539728544,NaN,0.5454545454545454,3
39,0.46020824281158407,NaN,0.9090909090909091,3
40,0.4566517254001797,NaN,0.9090909090909091,4
41,0.45190426560075975,NaN,0.9090909090909091,4
42,0.44732103830323505,NaN,0.9090909090909091,4
